,category,year,month,Size,date
0,calefaccion,2018,2,2,2018-2
1,calefaccion,2018,3,2,2018-3
2,calefaccion,2018,4,4,2018-4
3,calefaccion,2018,5,25,2018-5
4,calefaccion,2018,6,16,2018-6
5,calefaccion,2018,7,15,2018-7
6,calefaccion,2018,8,11,2018-8
7,calefaccion,2018,9,1,2018-9
8,calefaccion,2018,10,9,2018-10
9,calefaccion,2018,11,9,2018-11
10,calefaccion,2018,12,5,2018-12
11,calefaccion,2019,1,32,2019-1
12,calefaccion,2019,2,31,2019-2
13,calefaccion,2019,3,16,2019-3
14,construccion,2018,2,2,2018-2
15,construccion,2018,3,10,2018-3
16,construccion,2018,4,9,2018-4
17,construccion,2018,5,10,2018-5
18,construccion,2018,6,13,2018-6
19,construccion,2018,7,14,2018-7
20,construccion,2018,8,20,2018-8
21,construccion,2018,9,10,2018-9
22,construccion,2018,10,15,2018-10
23,construccion,2018,11,14,2018-11
24,construccion,2018,12,30,2018-12
25,construccion,2019,1,25,2019-1
26,construccion,2019,2,23,2019-2
27,construccion,2019,3,14,2019-3
28,decoracion,2018,3,2,2018-3
29,decoracion,2018,4,5,2018-4
30,decoracion,2018,5,4,2018-5
31,decoracion,2018,6,3,2018-6
32,decoracion,2018,7,3,2018-7
33,decoracion,2018,8,4,2018-8
34,decoracion,2018,9,5,2018-9
35,decoracion,2018,10,4,2018-10
36,decoracion,2018,11,1,2018-11
37,decoracion,2018,12,8,2018-12
38,decoracion,2019,1,12,2019-1
39,decoracion,2019,2,6,2019-2
40,decoracion,2019,3,3,2019-3
41,exterior,2018,2,3,2018-2
42,exterior,2018,3,3,2018-3
43,exterior,2018,4,8,2018-4
44,exterior,2018,5,36,2018-5
45,exterior,2018,6,16,2018-6
46,exterior,2018,7,25,2018-7
47,exterior,2018,8,44,2018-8
48,exterior,2018,9,26,2018-9
49,exterior,2018,10,20,2018-10
50,exterior,2018,11,22,2018-11
51,exterior,2018,12,43,2018-12
52,exterior,2019,1,51,2019-1
53,exterior,2019,2,51,2019-2
54,exterior,2019,3,31,2019-3
55,gastiferia,2018,2,3,2018-2
56,gastiferia,2018,3,7,2018-3
57,gastiferia,2018,4,7,2018-4
58,gastiferia,2018,5,14,2018-5
59,gastiferia,2018,6,16,2018-6
60,gastiferia,2018,7,7,2018-7
61,gastiferia,2018,8,7,2018-8
62,gastiferia,2018,9,2,2018-9
63,gastiferia,2018,10,14,2018-10
64,gastiferia,2018,11,11,2018-11
65,gastiferia,2018,12,13,2018-12
