,category,year,month,Size,date
69,herramientas,2018,3,6,2018-3
70,herramientas,2018,4,4,2018-4
71,herramientas,2018,5,9,2018-5
72,herramientas,2018,6,6,2018-6
73,herramientas,2018,7,9,2018-7
74,herramientas,2018,8,13,2018-8
75,herramientas,2018,9,2,2018-9
76,herramientas,2018,10,5,2018-10
77,herramientas,2018,11,6,2018-11
78,herramientas,2018,12,11,2018-12
79,herramientas,2019,1,18,2019-1
80,herramientas,2019,2,13,2019-2
81,herramientas,2019,3,6,2019-3
157,puertasyventanas,2018,3,11,2018-3
158,puertasyventanas,2018,4,7,2018-4
159,puertasyventanas,2018,5,13,2018-5
160,puertasyventanas,2018,6,19,2018-6
161,puertasyventanas,2018,7,6,2018-7
162,puertasyventanas,2018,8,13,2018-8
163,puertasyventanas,2018,9,7,2018-9
164,puertasyventanas,2018,10,8,2018-10
165,puertasyventanas,2018,11,7,2018-11
166,puertasyventanas,2018,12,15,2018-12
167,puertasyventanas,2019,1,21,2019-1
168,puertasyventanas,2019,2,9,2019-2
169,puertasyventanas,2019,3,15,2019-3
28,decoracion,2018,3,2,2018-3
29,decoracion,2018,4,5,2018-4
30,decoracion,2018,5,4,2018-5
31,decoracion,2018,6,3,2018-6
32,decoracion,2018,7,3,2018-7
33,decoracion,2018,8,4,2018-8
34,decoracion,2018,9,5,2018-9
35,decoracion,2018,10,4,2018-10
36,decoracion,2018,11,1,2018-11
37,decoracion,2018,12,8,2018-12
38,decoracion,2019,1,12,2019-1
39,decoracion,2019,2,6,2019-2
40,decoracion,2019,3,3,2019-3
170,quinchoyparrilla,2018,3,1,2018-3
171,quinchoyparrilla,2018,5,2,2018-5
172,quinchoyparrilla,2018,6,2,2018-6
173,quinchoyparrilla,2018,8,9,2018-8
174,quinchoyparrilla,2018,10,1,2018-10
175,quinchoyparrilla,2018,11,1,2018-11
176,quinchoyparrilla,2018,12,1,2018-12
177,quinchoyparrilla,2019,1,1,2019-1
178,quinchoyparrilla,2019,2,5,2019-2
82,iluminacion,2018,4,2,2018-4
83,iluminacion,2018,5,3,2018-5
84,iluminacion,2018,6,6,2018-6
85,iluminacion,2018,7,2,2018-7
86,iluminacion,2018,8,4,2018-8
87,iluminacion,2018,9,2,2018-9
88,iluminacion,2018,10,4,2018-10
89,iluminacion,2018,11,1,2018-11
90,iluminacion,2019,1,7,2019-1
91,iluminacion,2019,2,5,2019-2
92,iluminacion,2019,3,2,2019-3
125,nino,2018,3,1,2018-3
126,nino,2018,5,1,2018-5
127,nino,2018,12,2,2018-12
128,nino,2019,1,3,2019-1
93,mascotas,2018,6,2,2018-6
94,mascotas,2019,1,3,2019-1
95,mascotas,2019,2,2,2019-2
96,mascotas,2019,3,2,2019-3
