,category,year,month,Size,date
0,calefaccion,2018,2,2,2018-2
1,calefaccion,2018,3,2,2018-3
2,calefaccion,2018,4,4,2018-4
3,calefaccion,2018,5,25,2018-5
4,calefaccion,2018,6,16,2018-6
5,calefaccion,2018,7,15,2018-7
6,calefaccion,2018,8,11,2018-8
7,calefaccion,2018,9,1,2018-9
8,calefaccion,2018,10,9,2018-10
9,calefaccion,2018,11,9,2018-11
10,calefaccion,2018,12,5,2018-12
11,calefaccion,2019,1,32,2019-1
12,calefaccion,2019,2,31,2019-2
13,calefaccion,2019,3,16,2019-3
55,gastiferia,2018,2,3,2018-2
56,gastiferia,2018,3,7,2018-3
57,gastiferia,2018,4,7,2018-4
58,gastiferia,2018,5,14,2018-5
59,gastiferia,2018,6,16,2018-6
60,gastiferia,2018,7,7,2018-7
61,gastiferia,2018,8,7,2018-8
62,gastiferia,2018,9,2,2018-9
63,gastiferia,2018,10,14,2018-10
64,gastiferia,2018,11,11,2018-11
65,gastiferia,2018,12,13,2018-12
66,gastiferia,2019,1,32,2019-1
67,gastiferia,2019,2,31,2019-2
68,gastiferia,2019,3,23,2019-3
14,construccion,2018,2,2,2018-2
15,construccion,2018,3,10,2018-3
16,construccion,2018,4,9,2018-4
17,construccion,2018,5,10,2018-5
18,construccion,2018,6,13,2018-6
19,construccion,2018,7,14,2018-7
20,construccion,2018,8,20,2018-8
21,construccion,2018,9,10,2018-9
22,construccion,2018,10,15,2018-10
23,construccion,2018,11,14,2018-11
24,construccion,2018,12,30,2018-12
25,construccion,2019,1,25,2019-1
26,construccion,2019,2,23,2019-2
27,construccion,2019,3,14,2019-3
97,muebles,2018,2,2,2018-2
98,muebles,2018,3,5,2018-3
99,muebles,2018,4,8,2018-4
100,muebles,2018,5,10,2018-5
101,muebles,2018,6,13,2018-6
102,muebles,2018,7,7,2018-7
103,muebles,2018,8,3,2018-8
104,muebles,2018,9,4,2018-9
105,muebles,2018,10,7,2018-10
106,muebles,2018,11,9,2018-11
107,muebles,2018,12,23,2018-12
108,muebles,2019,1,28,2019-1
109,muebles,2019,2,25,2019-2
110,muebles,2019,3,16,2019-3
179,techumbres,2018,2,5,2018-2
180,techumbres,2018,3,5,2018-3
181,techumbres,2018,4,18,2018-4
182,techumbres,2018,5,22,2018-5
183,techumbres,2018,6,18,2018-6
184,techumbres,2018,7,14,2018-7
185,techumbres,2018,8,25,2018-8
186,techumbres,2018,9,11,2018-9
187,techumbres,2018,10,9,2018-10
188,techumbres,2018,11,6,2018-11
189,techumbres,2018,12,21,2018-12
190,techumbres,2019,1,25,2019-1
191,techumbres,2019,2,21,2019-2
192,techumbres,2019,3,16,2019-3
