,category,year,month,Size,date
143,pisos,2018,2,14,2018-2
144,pisos,2018,3,21,2018-3
145,pisos,2018,4,36,2018-4
146,pisos,2018,5,72,2018-5
147,pisos,2018,6,65,2018-6
148,pisos,2018,7,60,2018-7
149,pisos,2018,8,80,2018-8
150,pisos,2018,9,35,2018-9
151,pisos,2018,10,47,2018-10
152,pisos,2018,11,37,2018-11
153,pisos,2018,12,57,2018-12
154,pisos,2019,1,131,2019-1
155,pisos,2019,2,158,2019-2
156,pisos,2019,3,73,2019-3
111,muros,2018,2,13,2018-2
112,muros,2018,3,21,2018-3
113,muros,2018,4,44,2018-4
114,muros,2018,5,75,2018-5
115,muros,2018,6,64,2018-6
116,muros,2018,7,38,2018-7
117,muros,2018,8,76,2018-8
118,muros,2018,9,24,2018-9
119,muros,2018,10,33,2018-10
120,muros,2018,11,59,2018-11
121,muros,2018,12,86,2018-12
122,muros,2019,1,96,2019-1
123,muros,2019,2,107,2019-2
124,muros,2019,3,65,2019-3
129,pintura,2018,2,2,2018-2
130,pintura,2018,3,2,2018-3
131,pintura,2018,4,10,2018-4
132,pintura,2018,5,19,2018-5
133,pintura,2018,6,19,2018-6
134,pintura,2018,7,15,2018-7
135,pintura,2018,8,19,2018-8
136,pintura,2018,9,14,2018-9
137,pintura,2018,10,15,2018-10
138,pintura,2018,11,18,2018-11
139,pintura,2018,12,33,2018-12
140,pintura,2019,1,57,2019-1
141,pintura,2019,2,50,2019-2
142,pintura,2019,3,23,2019-3
41,exterior,2018,2,3,2018-2
42,exterior,2018,3,3,2018-3
43,exterior,2018,4,8,2018-4
44,exterior,2018,5,36,2018-5
45,exterior,2018,6,16,2018-6
46,exterior,2018,7,25,2018-7
47,exterior,2018,8,44,2018-8
48,exterior,2018,9,26,2018-9
49,exterior,2018,10,20,2018-10
50,exterior,2018,11,22,2018-11
51,exterior,2018,12,43,2018-12
52,exterior,2019,1,51,2019-1
53,exterior,2019,2,51,2019-2
54,exterior,2019,3,31,2019-3
